Iteration,Time (ms),# Perturbations,# Worse Values Kept,# Non-Zero,Total Energy,Equality Energy,Entropy Energy,Inequality Energy,Uncertain Slip Rate,Paleoseismic Event Rate,Laplacian Smoothing (43 parents),Rupture Rate Minimization,Uncertain MFD Equality
1597173565,3856428,6778035,292915,1006,6030.343,6030.343,0.0,0.0,3376.278,1474.5408,15.611456,0.5726061,1163.3397
1609628925,3887650,6798319,293464,980,6030.2046,6030.2046,0.0,0.0,3376.4575,1474.1586,15.614772,0.57186997,1163.4017
1623897390,3918840,6819083,294039,970,6029.878,6029.878,0.0,0.0,3376.518,1474.078,15.610401,0.57117075,1163.1002
1636585030,3950061,6839101,294581,966,6029.4834,6029.4834,0.0,0.0,3376.3828,1473.8237,15.62651,0.5709425,1163.0793
1650348557,3981236,6859630,295176,947,6029.343,6029.343,0.0,0.0,3376.4978,1473.6044,15.656221,0.57094514,1163.0135
1661831627,4012389,6878352,295702,954,6029.0854,6029.0854,0.0,0.0,3376.6646,1473.6613,15.653214,0.5709465,1162.5353
1675072695,4043632,6899629,296266,962,6028.7715,6028.7715,0.0,0.0,3376.433,1473.4921,15.631664,0.57094765,1162.6436
1689489005,4074876,6920142,296821,960,6028.7964,6028.7964,0.0,0.0,3376.1301,1473.3834,15.612138,0.5708347,1163.1
1703387175,4106084,6939665,297399,960,6028.927,6028.927,0.0,0.0,3376.3699,1473.377,15.619947,0.57077235,1162.9894
1716327401,4137341,6959710,297962,956,6028.769,6028.769,0.0,0.0,3376.3806,1473.2809,15.599949,0.57068825,1162.9369
1730343764,4168556,6980167,298512,946,6028.685,6028.685,0.0,0.0,3376.3572,1473.1493,15.606889,0.5704431,1163.0013
1744761741,4199732,6999010,299038,970,6028.636,6028.636,0.0,0.0,3376.5928,1473.1562,15.583699,0.5702959,1162.7334
1756247582,4230046,7017987,299580,971,6028.3965,6028.3965,0.0,0.0,3376.5251,1472.9174,15.585266,0.5699959,1162.7986
1771085980,4261137,7037606,300105,941,6028.2856,6028.2856,0.0,0.0,3376.5342,1472.9078,15.584888,0.56996804,1162.6891
1784229518,4292341,7057726,300674,951,6028.111,6028.111,0.0,0.0,3376.657,1472.6724,15.596573,0.57010573,1162.6147
1798081952,4323553,7077364,301264,942,6027.8257,6027.8257,0.0,0.0,3376.8132,1472.3228,15.591014,0.57015276,1162.5284
1812100123,4354652,7096700,301845,947,6027.471,6027.471,0.0,0.0,3376.7688,1472.1619,15.578905,0.5696095,1162.3921
1824092011,4385857,7115615,302345,962,6027.2954,6027.2954,0.0,0.0,3376.6418,1472.1029,15.59052,0.5698145,1162.3904
1837629021,4417036,7135136,302943,932,6027.124,6027.124,0.0,0.0,3376.6694,1472.039,15.566624,0.56952,1162.2794
1849658179,4448248,7154094,303497,951,6026.9756,6026.9756,0.0,0.0,3376.452,1471.8273,15.550294,0.56993043,1162.576
1861852811,4479472,7171909,303981,940,6026.999,6026.999,0.0,0.0,3376.6614,1471.9397,15.563513,0.56989753,1162.2643
1875305578,4510680,7191779,304584,943,6026.743,6026.743,0.0,0.0,3376.4434,1471.7462,15.547848,0.5700221,1162.4358
1887996777,4541893,7210429,305109,952,6026.7744,6026.7744,0.0,0.0,3376.5454,1471.7046,15.54509,0.5702302,1162.4093
1902154083,4573104,7229233,305645,931,6026.5996,6026.5996,0.0,0.0,3376.6558,1471.5884,15.524472,0.5700468,1162.261
1916029015,4604356,7249502,306303,937,6026.3877,6026.3877,0.0,0.0,3376.527,1471.2924,15.512033,0.5700056,1162.4861
1932143298,4635565,7270271,306922,931,6026.3623,6026.3623,0.0,0.0,3376.5488,1471.1144,15.51536,0.56980675,1162.614
1944890864,4666708,7287718,307378,936,6026.281,6026.281,0.0,0.0,3376.6602,1471.226,15.496546,0.5701599,1162.3278
1957190302,4697875,7306410,307885,921,6026.035,6026.035,0.0,0.0,3376.6365,1471.1327,15.488132,0.5698818,1162.2078
1970236402,4729061,7327036,308460,930,6025.867,6025.867,0.0,0.0,3376.3638,1470.9502,15.486494,0.5695595,1162.4973
1984926970,4760228,7345444,308967,921,6025.89,6025.89,0.0,0.0,3376.4717,1470.8634,15.463557,0.56967175,1162.5217
1998109153,4791460,7364442,309502,919,6025.808,6025.808,0.0,0.0,3376.4292,1470.9425,15.471195,0.5693511,1162.3958
2010775218,4822681,7381765,309975,946,6025.795,6025.795,0.0,0.0,3376.4785,1470.9282,15.4887705,0.56929266,1162.3302
2024798466,4853901,7401997,310558,942,6025.781,6025.781,0.0,0.0,3376.6453,1470.911,15.49482,0.56915593,1162.1605
2037205354,4885120,7418992,311067,931,6025.575,6025.575,0.0,0.0,3376.459,1470.6722,15.462907,0.56868637,1162.4122
2051100409,4916305,7437010,311524,917,6025.549,6025.549,0.0,0.0,3376.6306,1470.7488,15.457239,0.5687848,1162.1434
2063670887,4947473,7455065,312025,936,6025.3765,6025.3765,0.0,0.0,3376.5664,1470.6672,15.45107,0.56870323,1162.123
2077265281,4978697,7474813,312575,931,6025.3027,6025.3027,0.0,0.0,3376.4043,1470.5853,15.431452,0.56852794,1162.3134
2091176318,5009824,7493194,313097,928,6025.328,6025.328,0.0,0.0,3376.4956,1470.5522,15.452902,0.5684222,1162.2587
2104044011,5040992,7511002,313595,932,6025.2437,6025.2437,0.0,0.0,3376.4685,1470.6289,15.451625,0.5686218,1162.1259
2116835830,5072224,7529104,314088,922,6025.0576,6025.0576,0.0,0.0,3376.3386,1470.544,15.4324,0.5686751,1162.1738
2129324647,5103456,7548271,314597,923,6025.1084,6025.1084,0.0,0.0,3376.4355,1470.5315,15.431596,0.5689534,1162.1411
2141936011,5134577,7564996,315067,912,6025.0635,6025.0635,0.0,0.0,3376.4397,1470.3024,15.432612,0.5692266,1162.3197
2154610278,5165812,7581294,315529,906,6024.9272,6024.9272,0.0,0.0,3376.5906,1470.3281,15.419479,0.56924707,1162.0198
2166536133,5197104,7597884,316020,924,6024.6865,6024.6865,0.0,0.0,3376.5234,1470.2012,15.414535,0.5692195,1161.978
2179007534,5228324,7615254,316513,924,6024.556,6024.556,0.0,0.0,3376.4219,1470.116,15.3872385,0.5692174,1162.0621
2191430680,5259553,7632114,316985,900,6024.596,6024.596,0.0,0.0,3376.403,1470.1342,15.401868,0.5694902,1162.0878
2204618264,5290745,7649785,317486,902,6024.4937,6024.4937,0.0,0.0,3376.5251,1470.1716,15.397611,0.5694004,1161.8296
2217360327,5321933,7667025,317981,904,6024.3413,6024.3413,0.0,0.0,3376.3232,1470.0562,15.420619,0.56963867,1161.9719
2229889146,5353106,7684363,318469,901,6024.3643,6024.3643,0.0,0.0,3376.3635,1469.9775,15.397024,0.56935483,1162.0566
2242000675,5384337,7702066,318934,912,6024.363,6024.363,0.0,0.0,3376.437,1470.0397,15.401577,0.5696993,1161.9148
2254125914,5415496,7718908,319430,908,6024.2905,6024.2905,0.0,0.0,3376.4788,1469.9341,15.401257,0.5698436,1161.9065
2266760616,5446702,7737022,319941,916,6024.185,6024.185,0.0,0.0,3376.4407,1469.9534,15.373902,0.5700853,1161.8467
2279977311,5477849,7755122,320432,906,6024.037,6024.037,0.0,0.0,3376.4822,1469.8804,15.377961,0.5699086,1161.7266
2293999114,5509085,7773555,320968,904,6023.96,6023.96,0.0,0.0,3376.2751,1469.8121,15.392274,0.56964004,1161.9105
2305604515,5540308,7790381,321447,904,6024.0195,6024.0195,0.0,0.0,3376.4138,1469.7528,15.396301,0.5697,1161.8867
2319236760,5571533,7808346,321982,916,6023.94,6023.94,0.0,0.0,3376.484,1469.7383,15.394078,0.5703851,1161.753
2332962391,5602685,7826570,322498,908,6023.796,6023.796,0.0,0.0,3376.3713,1469.6278,15.390846,0.5701089,1161.8357
2344859612,5633817,7843566,322937,901,6023.708,6023.708,0.0,0.0,3376.4958,1469.4313,15.379562,0.57054174,1161.8309
